name,message,room,time
王維彤,早安&nbsp;今天天氣不好&nbsp;外面在下雨,全體聊天室,2023-12-28 09:22:36.979270+08:00
ll,大家早安,全體聊天室,2023-12-28 09:22:46.528907+08:00
戴,你好,全體聊天室,2023-12-28 09:22:51.411687+08:00
24,鍵盤壞了,全體聊天室,2023-12-28 09:22:54.722471+08:00
squall,我回家的時候不要下就好,全體聊天室,2023-12-28 09:22:56.081412+08:00
24,...,全體聊天室,2023-12-28 09:22:58.730417+08:00
53,ashgdh,全體聊天室,2023-12-28 09:23:21.250856+08:00
王維彤,好可憐喔&nbsp;沒有1也沒有O,全體聊天室,2023-12-28 09:23:21.756710+08:00
宇辰1,123,全體聊天室,2023-12-28 09:23:22.509699+08:00
makoto,zzzzzz@#$%*(@$,全體聊天室,2023-12-28 09:23:23.069315+08:00
宇辰1,415,全體聊天室,2023-12-28 09:23:23.492399+08:00
53,hi,全體聊天室,2023-12-28 09:23:23.683765+08:00
宇辰1,15135,全體聊天室,2023-12-28 09:23:24.570285+08:00
宇辰1,634634,全體聊天室,2023-12-28 09:23:25.495721+08:00
53,怒,全體聊天室,2023-12-28 09:23:26.057358+08:00
makoto,'ahdfjkhgh,全體聊天室,2023-12-28 09:23:27.334218+08:00
makoto,jkadshglare,全體聊天室,2023-12-28 09:23:27.815209+08:00
yii,1223,全體聊天室,2023-12-28 09:23:28.101642+08:00
makoto,fhiadf[pg,全體聊天室,2023-12-28 09:23:28.224715+08:00
makoto,fo[j,全體聊天室,2023-12-28 09:23:28.415124+08:00
makoto,aldfjghhopji,全體聊天室,2023-12-28 09:23:28.752241+08:00
makoto,nagh,全體聊天室,2023-12-28 09:23:29.074986+08:00
makoto,fakgh,全體聊天室,2023-12-28 09:23:29.254304+08:00
王維彤,wdifskdnhvpaefklfadnfaljhfda;fd,全體聊天室,2023-12-28 09:23:29.677615+08:00
squall,wwwwww,全體聊天室,2023-12-28 09:23:31.383887+08:00
squall,w,全體聊天室,2023-12-28 09:23:31.622539+08:00
squall,ww,全體聊天室,2023-12-28 09:23:31.985442+08:00
squall,w,全體聊天室,2023-12-28 09:23:32.143938+08:00
squall,w,全體聊天室,2023-12-28 09:23:32.314471+08:00
squall,w,全體聊天室,2023-12-28 09:23:32.456066+08:00
